name_en;name_en
Ialissos;Greece
Ipsos;Greece
Kalambaka;Greece
Kallithea;Greece
Kanapitsa;Greece
Karpathos;Greece
Kassiopi;Greece
Kavala;Greece
Lefkakia;Greece
Parga;Greece
Laganas;Greece
Lambi;Greece
Lefkada;Greece
Linoperamata;Greece
Makrigialos;Greece
Marmari;Greece
Moraitika;Greece
Mykonos;Greece
Nafplion;Greece
Oia;Greece
Ornos;Greece
Paleokastritsa;Greece
Panormos;Greece
Paros;Greece
Patras;Greece
Paxos;Greece
Perisa;Greece
Perivolos;Greece
Ios;Greece
Larissa;Greece
Kos;Greece
Lemnos;Greece
Naxos;Greece
Samos;Greece
Skiathos;Greece
Skopelos;Greece
Tavronitis;Greece
Sinarades;Greece
Pelekas;Greece
Kissamos;Greece
Peroulades;Greece
Patmos;Greece
Naousa;Greece
Acharavi;Greece
Acharnes;Greece
Aegina;Greece
Afandou;Greece
Akrotiri;Greece
Alexandroupolis;Greece
Alimos;Greece
Scaleta;Greece
Analipsis;Greece
Anissaras;Greece
Anogeia;Greece
Ierapetra;Greece
Arillas;Greece
Athens;Greece
Bali;Greece
Chalkidiki;Greece
Chersonissos;Greece
Crete;Greece
Dodecanesse;Greece
Kefalonia;Greece
Elia;Greece
Elounda;Greece
Evia;Greece
Peloponnese;Greece
Fira;Greece
Gennadi;Greece
Georgioupolis;Greece
Budapest;Hungary
Reykjavik;Iceland
Lucan;Ireland
Dublin;Ireland
Ashbourne;Ireland
Balbriggan;Ireland
Galway;Ireland
Kenmare;Ireland
Killiney;Ireland
Portmarnock;Ireland
Killarney;Ireland
Mayo;Ireland
Enniskerry;Ireland
Howth;Ireland
Parknasilla;Ireland
Bray;Ireland
Cork;Ireland
Saggart;Ireland
Cong;Ireland
Pomezia;Italy
Puglia;Italy
Riccione;Italy
Sassari;Italy
Montesilvano;Italy
Tuscany;Italy
Ostuni;Italy
Maiori;Italy
Gallipoli;Italy
Senigallia;Italy
Trento;Italy
Peschiera;Italy
Praiano;Italy
Caserta;Italy
Casoria;Italy
Catania;Italy
Catanzaro;Italy
Cattolica;Italy
Cefalu;Italy
Cervia;Italy
Cesenatico;Italy
Mira;Italy
Imperia;Italy
Florence;Italy
Milan;Italy
Turin;Italy
Sicily;Italy
Agrigento;Italy
Alberobello;Italy
Alghero;Italy
Amalfi;Italy
Anacapri;Italy
Viserbella;Italy
Ancona;Italy
Aosta;Italy
Arcore;Italy
Assago;Italy
Bardolino;Italy
Barletta;Italy
Baveno;Italy
Bellaria;Italy
Bentivoglio;Italy
Bergamo;Italy
Binasco;Italy
Bologna;Italy
Bolzano;Italy
Brescia;Italy
Calenzano;Italy
Campogalliano;Italy
Canazei;Italy
Cannaregio;Italy
Cannigione;Italy
Carimate;Italy
Carmagnola;Italy
Como;Italy
Cornaredo;Italy
Costermano;Italy
Cusago;Italy
Elba;Italy
Ercolano;Italy
Erice;Italy
Ferrara;Italy
Fiesole;Italy
Frascati;Italy
Gaeta;Italy
Genoa;Italy
Grosseto;Italy
Grottaferrata;Italy
Grugliasco;Italy
Lampedusa;Italy
Latina;Italy
Lazio;Italy
Lecce;Italy
Letojanni;Italy
Linate;Italy
Lipari;Italy
Livorno;Italy
Lombardy;Italy
Marino;Italy
Martinsicuro;Italy
Matera;Italy
Mirano;Italy
Modica;Italy
Moncalieri;Italy
Monza;Italy
Naples;Italy
Napoli;Italy
Noto;Italy
Novara;Italy
Olbia;Italy
Oleggio;Italy
Orvieto;Italy
Padova;Italy
Palermo;Italy
Parma;Italy
Pero;Italy
Pesaro;Italy
Pescara;Italy
Piemonte;Italy
Pompei;Italy
Ponza;Italy
Portoferraio;Italy
Portoscuso;Italy
Lainate;Italy
Ravenna;Italy
Rho;Italy
Saronno;Italy
Lissone;Italy
Rome;Italy
Impruneta;Italy
Marghera;Italy
Salerno;Italy
Jesolo;Italy
Ciampino;Italy
Desenzano;Italy
Vimercate;Italy
